Time,Mag,Error
50719.529595,-5.836,0.037
50721.416701,-5.786,0.023
50722.561817,-5.836,0.031
50725.342211,-5.757,0.055
50730.420833,-5.733,0.024
50730.546840,-5.702,0.017
50732.455868,-5.714,0.058
50733.507650,-5.859,0.049
50734.594907,-5.802,0.042
50736.483958,-5.688,0.109
50737.560694,-5.659,0.118
50745.440278,-5.736,0.027
50746.500185,-5.776,0.027
50748.542419,-5.759,0.037
50767.354282,-5.702,0.044
50769.498669,-5.738,0.043
50771.481701,-5.799,0.03
50775.502315,-5.803,0.078
50777.504815,-5.841,0.042
50785.337766,-5.831,0.079
50796.314306,-5.791,0.038
50797.514896,-5.736,0.035
50803.482419,-5.844,0.046
50808.325278,-5.768,0.056
50812.369699,-5.815,0.027
50818.519306,-5.793,0.033
50830.428657,-5.795,0.055
